File Name,No. of Vertices,No. of Edges,BA Chromatic Number,BA Runtime (ms),GA Chromatic Number,GA Runtime (ms),DP Chromatic Number,DP Runtime (ms)
1-FullIns_3,30,100,8,0.2773,8,0.0247,8,0.0228
1-FullIns_4,93,593,11,0.4137,11,0.1201,11,0.0107
1-FullIns_5,282,3247,14,0.7180,14,0.5950,14,0.0552
2-FullIns_3,52,201,10,1.3266,10,0.0555,10,0.0073
2-FullIns_4,212,1621,14,1.5550,14,0.5128,14,0.0553
2-FullIns_5,852,12201,18,2.6035,18,2.9382,18,0.2542
3-FullIns_3,80,346,12,0.4446,12,0.0876,12,0.0091
3-FullIns_4,405,3524,17,0.7799,17,3.2653,17,0.0699
3-FullIns_5,2030,33751,22,5.2959,22,3.0607,22,0.7543
4-FullIns_3,114,541,14,2.6431,14,0.1102,14,0.0151
4-FullIns_4,690,6650,20,0.8844,20,1.2974,20,0.1330
4-FullIns_5,4146,77305,26,15.3877,26,12.9794,26,1.7687
5-FullIns_3,154,792,16,0.6245,16,0.0135,16,0.0823
5-FullIns_4,1085,11395,23,4.5571,23,0.3107,23,0.2327
