File Name,No. of Vertices,No. of Edges,BA Chromatic Number,BA Runtime (ms),GA Chromatic Number,GA Runtime (ms),DP Chromatic Number,DP Runtime (ms)
le450_15a,450,8168,22,2.5007,22,0.1030,22,0.2840
le450_15b,450,8169,22,1.5566,22,0.1161,22,0.1758
le450_15c,450,16680,30,1.2530,30,0.1858,30,0.3046
le450_15d,450,16750,31,4.4347,31,0.1813,31,0.3424
le450_25a,450,8260,28,2.0637,28,0.3804,28,0.1662
le450_25b,450,8263,27,1.0092,27,0.1100,27,0.3003
le450_25c,450,17343,37,1.4351,37,0.1948,37,0.4746
le450_25d,450,17425,35,1.9919,35,0.1943,35,0.3616
le450_5a,450,5714,14,0.8358,14,0.1115,14,0.1730
le450_5b,450,5734,13,0.5711,13,0.0889,13,0.1060
le450_5c,450,9803,17,1.4035,17,0.1520,17,0.1557
le450_5d,450,9757,18,0.9871,18,0.1323,18,0.1535
