File Name,No. of Vertices,No. of Edges,BA Chromatic Number,BA Runtime (ms),GA Chromatic Number,GA Runtime (ms),DP Chromatic Number,DP Runtime (ms)
queen10_10,100,2940,16,1.1176,16,0.0329,16,0.0360
queen11_11,121,3960,17,0.4553,17,0.0277,17,0.0410
queen12_12,144,5192,20,0.4490,20,0.0412,20,0.0588
queen13_13,169,6656,21,1.4345,21,0.0600,21,0.0667
queen14_14,196,8372,23,2.0057,23,0.0907,23,0.3537
queen15_15,225,10360,25,0.5697,25,0.1136,25,0.1179
queen16_16,256,12640,25,1.2047,25,0.1259,25,0.1600
queen5_5,25,320,8,0.2021,8,0.0046,8,0.0041
queen6_6,36,580,11,0.2037,11,0.0067,11,0.0062
queen7_7,49,952,10,0.2052,10,0.0103,10,0.0074
queen8_12,96,2736,15,0.6564,15,0.0202,15,0.0717
queen8_8,64,1456,13,0.3566,13,0.0110,13,0.0139
queen9_9,81,2112,16,0.3578,16,0.0150,16,0.0179
