File Name,No. of Vertices,No. of Edges,BA Chromatic Number,BA Runtime (ms),GA Chromatic Number,GA Runtime (ms),DP Chromatic Number,DP Runtime (ms)
DSJC1000.1,1000,49629,31,3.1535,31,0.9974,31,1.1975
DSJC1000.5,1000,249826,127,17.3088,127,7.3379,127,15.0547
DSJC1000.9,1000,449449,321,45.0876,321,9.4365,321,52.1311
DSJC125.1,125,736,8,0.3810,8,0.0134,8,0.0139
DSJC125.5,125,3891,26,1.8027,26,0.0257,26,0.0982
DSJC125.9,125,6961,56,1.5490,56,0.0342,56,0.1647
DSJC250.1,250,3218,13,0.4382,13,0.0454,13,0.0449
DSJC250.5,250,15668,43,1.2053,43,0.1579,43,0.3545
DSJC250.9,250,27897,99,3.0133,99,0.2938,99,1.3171
DSJC500.1,500,12458,20,2.1154,20,0.1930,20,0.2791
DSJC500.5,500,62624,72,13.9864,72,4.5046,72,1.9955
DSJC500.9,500,224874,175,7.1906,175,1.6949,175,7.9133
DSJR500.1,500,3555,15,0.7342,15,0.0790,15,0.0756
DSJR500.1c,500,121275,109,2.2812,109,3.8852,109,2.9164
DSJR500.5,500,58862,143,5.1492,143,1.0827,143,5.0036
