File Name,No. of Vertices,No. of Edges,BA Chromatic Number,BA Runtime (ms),GA Chromatic Number,GA Runtime (ms),DP Chromatic Number,DP Runtime (ms)
1-Insertions_4,67,232,5,0.4108,5,0.0051,5,0.0039
1-Insertions_5,202,1227,6,0.4291,6,0.0131,6,0.0136
1-Insertions_6,607,6337,7,0.7761,7,0.1012,7,0.0632
2-Insertions_3,37,72,4,0.3320,4,0.0033,4,0.0025
2-Insertions_4,149,541,5,1.9761,5,0.0113,5,0.0089
2-Insertions_5,597,3936,6,0.7081,6,0.1087,6,0.0482
3-Insertions_3,56,110,4,0.6591,4,0.0051,4,0.0037
3-Insertions_4,281,1046,5,0.4620,5,0.0254,5,0.0348
3-Insertions_5,1406,9695,6,4.2761,6,0.4267,6,0.2025
4-Insertions_3,79,156,4,0.2710,4,0.0061,4,0.0043
4-Insertions_4,475,1795,5,0.5840,5,0.0547,5,0.0262
